,0
64,"['rt', 'msubigguy', 'rt', 'youu2019d', 'enjoy', 'fucking', 'big', 'ass', 'harness', 'included', 'extra', 'grip', 'gaychub', 'httpstcopkxwwvte0v']"
65,"['rt', 'bonditobasic', 'queensland', 'enjoy', 'experience', 'seeing', 'kangaroos', 'wallabies', 'beautiful', 'setting', 'place', 'need', 'go', 'cu2026']"
66,"['rt', 'jpophappenings', 'jpop', 'company', 'decided', 'put', 'artists', 'concerts', 'youtube', 'people', 'enjoy', 'home', 'staying', 'safeu2026']"
67,"['rt', 'femmeenergy', 'u201ctime', 'enjoy', 'wasting']"
68,"['pretty', 'sure', 'iu2019d', 'enjoy', 'self', 'quarantine', 'everyone', 'leave', 'alone', 'send', 'pizza', 'white', 'claws']"
69,"['please', 'enjoy', 'video', 'dog']"
70,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
71,"['godofgluttony', 'morganmills199but', 'aubrey', 'reason', 'enjoy', 'performance', 'lenny', 'ud83dude0f', 'instantly', 'became', 'fau202httpstcoywemu769oj']"
72,"['rt', 'viji7317535late', 'nigt', 'enjoy', 'husbend', 'romba', 'mod', 'panitaruu2764ufe0f', 'rt', 'pana', 'dm', 'panven', 'httpstcoj13kopqhav']"
73,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
74,"['check', 'snippet', 'recent', 'vegas', 'trip', 'ud83dudc47ud83cudffbenjoy', 'donu2019t', 'forget', 'like', 'subscribe', 'ud83dude4httpstco3ofdkuzvam']"
75,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
76,"['rt', 'rtdumbass', 'work', 'hard', 'missbfindom', 'relax', 'enjoy', 'day', 'nnmake', 'sure', 'pay', 'thank', 'honour', 'nnburattinop', 'rtl0seru2026']"
77,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
78,"['wish', 'worked', 'pussy', 'companies', 'canceling', 'shit', 'maybe', 'could', 'enjoy', 'time', 'stupidity', 'fuckoff']"
79,"['rt', 'mikomihokina', 'like', 'esdeath', 'set', 'yesterday', 'nnit', 'ddl', '50k', 'times', 'incrediblennyou', 'enjoy', 'anu2026']"
80,"['really', 'enjoy', 'sun', 'longer']"
81,"['arkhamlibrarian', 'surprises', 'enjoy', 'books']"
82,"['rt', 'nitenday8_', 'else', 'loves', 'fucking', 'dude', 'packing', 'alot', 'dick', 'well', 'know', 'throughly', 'enjoy', 'linking', 'withnnsee', 'mu2026']"
83,"['foragednature', 'abbstab', 'thought', 'youu2019d', 'enjoy']"
84,"['rt', 'playboydiorr', 'hi', 'u', 'see', 'means', 'ur', 'gon', 'na', 'bomb', 'ass', 'day', 'today', 'enjoy', 'hoe']"
85,"['rt', 'mywritersnook', 'bookreview', 'httpstcop43s5mvq7t', 'lindisfarne', 'terrytylerperfect', 'enjoy', 'thrilling', 'story', 'whichu2026']"
86,"['azunanhehehehe', 'good', 'morning', 'enjoy']"
87,"['davidwells222013boodicca', 'dondacamara', 'diajusta', 'isabelo2018305jenniferatntd', 'carolcarv9i', 'enjoy', 'freedomu202httpstcoumdequvy6d']"
88,"['rt', 'fdlm3incase', 'missed', 'fantastic', 'matchnliverpool', '2atleticonnplease', 'enjoy', 'goalsud83dudd25ud83dude0dnnvia', 'top5vid', 'nnlivatl', 'nn', 'httpstcu2026']"
89,"['rt', 'jpophappenings', 'jpop', 'company', 'decided', 'put', 'artists', 'concerts', 'youtube', 'people', 'enjoy', 'home', 'staying', 'safeu2026']"
90,"['rt', 'orithegame', 'happy', 'launch', 'day', 'hope', 'enjoying', 'wotw', 'excited', 'playing', 'working', 'hard', 'resolve', 'issuesu2026']"
91,"['rt', 'valiantcomics', 'wonderful', 'samheughan', 'bloodshotud83dudd3youre', 'gon', 'na', 'enjoy']"
92,"['rt', 'foufa260dear', 'bts_twt', 'even', 'cant', 'see', 'us', 'cant', 'cheer', 'always', 'behind', 'back', 'enjoying', 'success']"
93,"['rt', 'lizkaerunga', 'lem', 'dedicate', 'u', 'mad', 'chune', 'azawiofficial', 'repeat', 'itud83dudd25enjoy', 'new', 'age', 'ud83eudd70u263aufe0fu263aufe0f']"
94,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
95,"['podcastparanoid', 'youre', 'welcome', 'enjoy', 'podcast']"
96,"['rt', 'sdequus', 'youu2019re', 'ok', 'putting', 'horse', 'risk', 'injury', 'enjoy', 'equestrian', 'sports']"
97,"['rt', 'steve_c197patriots', 'one', 'thing', 'enjoy', 'twitter', 'helping', 'people', 'love', 'watching', 'smaller', 'account', 'grow', 'grow', 'whiu2026']"
98,"['rt', 'mirendar', 'itu2019s', 'finally', 'video', 'donu2019t', 'sacrifice', 'burning', 'hole', 'proverbial', 'pocket', 'please', 'enjoy', 'clip', 'wu2026']"
99,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
100,"['rt', 'amberxo_bbw', 'like', 'pride', 'giving', 'respectfully', 'time', 'loversnni', 'truly', 'enjoy', 'getting', 'ku2026']"
101,"['might', 'fly', 'dublin', 'weekend', 'enjoy', 'properwhiskey', 'ifidieidie', 'wonderlust', 'countycork', 'irelandu202httpstcof4dwr1lyt1']"
102,"['rt', 'payhip', 'video', 'intro', 'competitionnnwe', 'really', 'enjoy', 'seeing', 'video', 'intros', 'making', 'want', 'morennto', 'enternnu202creu2026']"
103,"['rt', 'man_of_feelz', 'twitter', 'enjoy', 'last', 'jedi', 'rise', 'skywalker', 'httpstcokehpew8yzd']"
104,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
105,"['rt', 'flexutd', 'liverpool', 'greatest', 'team', 'ever', 'trying', 'tell', 'us', 'lol', 'ud83dude0just', 'stay', 'lane', 'enjoy', 'first', 'league', '3years', 'leavu2026']"
106,"['really', 'enjoy', 'reading', 'books', 'add', 'value', 'life']"
107,"['rt', 'mellyrockstil_dont_care', 'himesan_cosplay', 'men', 'enjoy', 'want', 'watch', 'content', 'woman', 'yall', 'incapable', 'valuing', 'wu2026']"
108,"['rt', 'wired', 'take', 'break', 'news', 'week', 'enjoy', 'gorgeous', 'selfportraits', 'northern', 'lights', 'photographer', 'tiinu2026']"
109,"['rt', 'prmaria', 'michaelkuluva', 'gusgusfrenchie', 'stay', 'well', 'enjoy', 'little', 'gus']"
110,"['rt', 'emilywillisxoxo', 'hi', 'enjoy', 'cute', 'set', 'pics', 'took', 'today', 'ud83dude1dnhttpstcopbw6ds3kfv', 'httpstcoa02xuocyma']"
111,"['stealth40k', 'cool', 'feel', 'opinions', 'well', 'thought', 'researched', 'enjoy', 'reading', 'insightsu202httpstco1jdq1bkn2w']"
112,"['rt', 'babygirl07_xx', 'u0e40u0e01u0e4au0e32u0e40u0e2du0e07u0e07u0e07u0e07u0e0u0e2bu0e27u0e31u0e07u0e27u0e48u0e32u0e17u0e38u0e01u0e04u0e19u0e08u0e30u0e0au0e37u0e48u0e19u0e0au0e2du0e1au0e01u0e31u0e19u0e19u0e30n', 'n', 'video', 'hope', 'enjoy', 'nnmodel', 'babygirl07_xx', 'nmaster', 'thbu2026']"
113,"['rt', 'zionalexiel', 'done', 'enjoy', 'httpstcoqguqestaki']"
114,"['yu2019all', 'enjoy', 'workschool', 'home']"
115,"['rt', 'yungscorpiho', 'yu2019all', 'mad', 'people', 'wanting', 'kids', 'young', 'u201cenjoy', 'theyu2019re', 'youthu201d', 'like', 'shut', 'depressed', 'bitchu2026']"
116,['u5927u7832u5473u65b9u3082u30c0u30e1u304fu3089u3046u306eu304bu6c17u306bu306au3063u3066nu5468u308au6575u3044u306au304bu3063u305fu304bu3089u904au3093u3067u305fu3089u307eu3055u304bu306eu6575u3044u3066u3081u3063u3061u3083u3044u3044u30bfu30a4u30dfu30f3u30b0u3067u6575u306bu3044u3055u3093u629cu304bu308cu305fu306eu307eu3058u7b11u3063u305fwwwwwwu4f55u56deu307fu3066u3082u304au3082u308du3044ud83eudd23ud83eudd23ud83eudd23nnu8352u91ceu884cu52d5u3000u8352u91ceu5973u5b50u3000enjoyu52ehttpstcowiyyygofgc']
