0,['hey\\ud83d\\ude0btoday'],['prepared'],['hot'],['\\ud83d\\udd25game'],['private'],['messages\\ud83d\\udc8c\\ud83e\\udd2d\\ud83e\\udd2b\\ud83d\\udc45\\ud83c\\udf46'],"[""'ll""]",['wait'],['you\\ud83d\\udca6\\ud83d\\ude08\\ud83d\\udc8b\\ud83d\\udd1e\\ud83d\\udc4subscribe'],,,,,,,,,,,,,,
53,"[""n't""]",['usually'],['post'],['family'],['yesterday'],['non'],['verbal'],['son'],['autism'],['celebrated'],['29th'],['bihday'],['yrs'],['w\\u2026'],"[""''""]",,,,,,,,
54,['young'],['guy'],['clearly'],['said'],"[""''""]",['bara'],['na'],['gaisa'],['da'],['shi\\'],"[""''""]",['let'],['greet'],['probably'],['sees'],['much'],['distance'],['between\\u2026'],"[""''""]",,,,
55,['really'],['good'],['aicle'],['recent'],['data'],,,,,,,,,,,,,,,,,,
56,"[""'s""]",['ok'],['apparently'],['long'],['nails'],['harbour'],['germs'],['genuinely'],"[""n't""]",['know'],['cutting'],"[""'m""]",['horr\\u202'],,,,,,,,,,
57,['today'],"[""'s""]",['card'],"[""'ve""]",['born'],['mind'],['judge'],['amp'],['evaluate'],['good'],['news'],['help'],['know'],['to\\u2026'],"[""''""]",,,,,,,,
58,['tend'],['bias'],['color'],['tweet'],['\\n2'],['hype'],['mbbsd'],['\\n\\nmbbsd'],['takes'],['precedence'],['today'],['i\\u2019ll'],['answer'],['throug\\u2026'],"[""''""]",,,,,,,,
59,['bipaisan'],['prep'],['act'],['would'],['expand'],['medical'],['professionals\\u201access'],['vitally-needed'],['respirators'],['creat\\u2026'],"[""''""]",,,,,,,,,,,,
60,['mercedes'],['statement'],['mercedes-amg'],['petronas'],['fteam'],['today'],['sent'],['letter'],['fia'],['frequesting'],['cancella\\u2026'],"[""''""]",,,,,,,,,,,
61,['tomorrow'],['isn\\u2019t'],['promised'],['get'],['cheeks'],['clapped'],['today'],"[""''""]",,,,,,,,,,,,,,,
62,['best'],['friend\\/roommate'],['drive'],['away'],['months'],['earlier'],['something'],['thought'],['would'],['ha\\u202'],,,,,,,,,,,,,
63,['bipaisan'],['prep'],['act'],['would'],['expand'],['medical'],['professionals\\u201access'],['vitally-needed'],['respirators'],['creat\\u2026'],"[""''""]",,,,,,,,,,,,
64,['usually'],['supermarket'],['shopping'],['today'],['thought'],,,,,,,,,,,,,,,,,,
65,['vs'],['wrightstown'],['high'],['school'],['girls'],['basketball'],['playoffs'],['202live'],['stream\\nlive'],,,,,,,,,,,,,,
66,['cool'],['ca'],"[""n't""]",['wait'],['see'],,,,,,,,,,,,,,,,,,
67,['great'],['deal'],['mummies'],"[""''""]",,,,,,,,,,,,,,,,,,,
68,['feel'],['little'],['optimistic'],['today'],['thought'],['would'],['tweet'],['favorite'],['thing'],['\\n\\nyou'],['know'],['sound'],['way'],['\\ud83d\\udd0a\\ud83d\\udd0a\\ud83d\\udd0a'],['ht\\u2026'],"[""''""]",,,,,,,
69,['tomorrow'],['isn\\u2019t'],['promised'],['get'],['cheeks'],['clapped'],['today'],"[""''""]",,,,,,,,,,,,,,,
70,['people'],['need'],['hear'],['good'],['news'],['today'],['\\ud83d\\ude0'],,,,,,,,,,,,,,,,
71,['thought'],['going'],['wal-ma'],['today'],,,,,,,,,,,,,,,,,,,
72,['great'],['deal'],['mummies'],"[""''""]",,,,,,,,,,,,,,,,,,,
73,['bonus'],['theme'],['tune'],"[""''""]",,,,,,,,,,,,,,,,,,,
74,['illinois'],['today'],['request'],['vote'],['mail'],['ballot'],['takes'],['minutes'],['apply'],,,,,,,,,,,,,,
75,['bipaisan'],['prep'],['act'],['would'],['expand'],['medical'],['professionals\\u201access'],['vitally-needed'],['respirators'],['creat\\u2026'],"[""''""]",,,,,,,,,,,,
76,['happy'],['cast'],['committee'],['vote'],['today'],['favor'],['sb'],['6to'],['automatically'],['restore'],['voting'],['rights'],,,,,,,,,,,
77,['acorns'],['get'],['sta'],['investing'],['acorns'],['today'],['get'],['use'],['invite'],['link'],,,,,,,,,,,,,
78,['business'],['majors'],['always'],['talking'],['abt'],['stock'],['market'],['money'],['moves'],['yall'],['lost'],['today'],"[""''""]",,,,,,,,,,
79,['attempt'],['turn'],['indians'],['profound'],['culture'],['traditions'],['long'],['history'],['colonial'],['era\\u2026'],"[""''""]",,,,,,,,,,,,
80,['today'],['time'],['home'],['i\\u2019m'],['gon'],['na'],['read'],,,,,,,,,,,,,,,,
81,['today'],['dr'],['asked'],['stay'],['away'],['people\\/'],['stay'],['inside'],['due'],['risk'],['catch'],['so\\u202'],,,,,,,,,,,
82,['v\\u2019s'],['self'],['produced'],['ost'],['drama'],['\\u2018itaewon'],['class\\u201will'],['coming'],['today'],['6pm'],['kst'],['\\n\\nlet\\u2019s'],['trend'],['sweetnightapproa\\u2026'],"[""''""]",,,,,,,,
83,"[""n't""]",['white'],['house'],['hold'],['virus'],['briefing'],['today'],['\\n\\n\\'],"[""''""]",['americans'],['want'],['answers'],['ever'],['--'],['makes'],['wh\\u2026'],"[""''""]",,,,,,
84,['twitter'],['stressful'],['today'],['here\\u2019s'],['video'],['bunny'],['eating'],['apple'],['slow'],['motion'],,,,,,,,,,,,,
85,['thank'],['much'],['watching'],['sb19onpeplive'],['making'],['top'],['trending'],['today'],['much\\u2026'],"[""''""]",,,,,,,,,,,,,
86,['white'],['house'],['confirms'],['coronavirus'],['task'],['force'],['briefing'],['much'],['daily'],,,,,,,,,,,,,,
87,['decided'],['wear'],['natural'],['hair'],['work'],['first'],['time'],['today'],['walked'],['older'],['yt'],['male'],['coworker'],['says\\u2026'],"[""''""]",,,,,,,,
88,['thoughts'],['today'],['go'],['contingent'],['faculty'],['--'],['adjuncts'],,,,,,,,,,,,,,,,
89,['malaysia'],['trying'],['track'],['thousands'],['attended'],['international'],['religious'],['event'],['mosque'],['sri'],['petaling'],['new'],['cas\\u2026'],"[""''""]",,,,,,,,,
90,['2020census'],['\\ud83d\\ude01everyone'],['counts'],['census'],['\\n\\nstaing'],['today'],['households'],['sta'],['receive'],['invitation'],['lett\\u2026'],"[""''""]",,,,,,,,,,,
91,['breaking'],['mlb'],['expected'],['suspend'],['baseball'],['operations'],['indefinitely'],['later'],['today'],['according'],,,,,,,,,,,,,
92,['got'],['parsons'],['today'],['school'],['cancelled'],['two'],['weeks'],['life'],['good'],['\\u2764\\ufe0f'],"[""''""]",,,,,,,,,,,,
93,['grim'],['side'],['effect'],['today\\u2019s'],['times'],['corona'],['spam'],"[""''""]",,,,,,,,,,,,,,,
94,['great'],['deal'],['mummies'],,,,,,,,,,,,,,,,,,,,
95,"[""n't""]",['tweet'],['much'],['today'],"[""n't""]",['good'],['happy'],['thing'],"[""'s""]","[""'ll""]",['take'],['money'],,,,,,,,,,,
96,['like'],['pacific'],['nohwest'],['neighborhood'],['today'],,,,,,,,,,,,,,,,,,
97,['good'],['morning'],,,,,,,,,,,,,,,,,,,,,
98,['games'],['played'],['behind'],['doors\\n\\narsenal'],['official'],['attendance'],['today\\u2019s'],['game'],['59'],,,,,,,,,,,,,,
99,['knetz'],['also'],['many'],['intl'],['kpop'],['stans'],['made'],['fun'],['like'],['it\\u2019s'],['okay'],['bashed'],['lot'],['thoug\\u202'],,,,,,,,,
100,['perfect'],['day'],['shitposting'],['nothing'],['good'],['shit'],['smh'],"[""''""]",,,,,,,,,,,,,,,
101,['way'],['fellas'],['good'],['sta'],['\\u26f3\\ufe0f\\ud83c\\udfcc\\ud83c\\udffc\\u200d\\u2640\\ufe0f\\ud83c\\udfcc\\ufe0f'],['pwolfnation'],['pwolfgolf'],"[""''""]",,,,,,,,,,,,,,,
102,['celebrated'],['accomplishments'],['busy'],['slicing'],['serving'],['get'],['pics'],,,,,,,,,,,,,,,,
103,['tohatchi'],['vs'],['23'],['tularosa'],['||'],['today'],"[""'s""]",['new'],['mexico'],['high'],['school'],['girls'],['basketball'],['live'],['stream\\n\\n\\u21ewatch'],['live\\u1d34\\u1d3'],,,,,,,
