,0
63,"['rt', 'clydehusky', 'man', 'nico', 'born', 'way', 'straight', 'leg', 'shepherd', 'syndrome', 'kneecap', 'still', 'smiles', 'amp', 'happy', 'pawfect', 'isu2026']"
64,"['rt', 'cecysux', 'hope', 'genuinely', 'happy', 'one', 'day', 'bro']"
65,"['rt', 'reenyos', 'hi', 'episode', 'made', 'happy', 'drew', 'ud83dudc9eud83dudc96ud83dudc9eud83cudf38ud83dudc93ud83dudc9e', 'barchie', 'riverdale', 'httpstcomlh78nrspl']"
66,"['themaskedsinger', 'thats', 'jojo', 'overly', 'happy', 'assud83eudd23ud83eudd23ud83eudd2httpstcobgoyg9xeyx']"
67,"['rt', 'alyssa_schoener', 'youu2019re', 'happy', 'college', 'switching', 'online', 'classes', 'ur', 'friends', 'spend', 'rest', 'su2026']"
68,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
69,"['rt', 'rose_la_reine', 'lauraleigh_xoxo', 'happy', 'hump', 'daaay', 'ud83dudc9ud83cudf5nhttpstco3ydtdckqvznhttpstcojzh6cg3mumn5off', 'snap', 'code', 'angel', 'httu2026']"
70,"['rt', 'tawarxhati', 'may', 'look', 'happy', 'outside']"
71,"['patobrien2thanks', 'pat', 'happy', 'holidays']"
72,"['bev_did', 'happy', 'birthday', 'im', 'happy', 'life', 'well', 'get']"
73,"['happy', 'place', 'u263aufe0f', 'httpstco23vgqq0ivh']"
74,"['rt', 'janelleey_', 'terryy_tiggerr', 'noahalonso1so', 'happy', 'guys', 'ltud83eudd7a']"
75,"['still', 'happy', 'placenblackbetty', 'trustysteed', 'httpstcodek7marunb']"
76,"['mindyabizz_', 'happy', 'birthday', 'ud83eudd73ud83eudd0d']"
77,"['rt', 'crumche_again', 'happy', 'decode', 'day', 'yall', 'httpstcohpgecun1kb']"
78,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
79,"['rt', 'heyitsmesalty', 'butter', 'makes', 'happy', 'butterdance', 'httpstcoju5zxxkhc6']"
80,"['watching', 'space', 'jam', 'bc', 'happy', 'time']"
81,"['rt', 'kolbierashell', 'attractive', 'thing', 'goofiness', 'wan', 'na', 'spend', 'rest', 'life', 'genuinely', 'happy', 'making', 'lau2026']"
82,"['rt', 'alyssa_schoener', 'youu2019re', 'happy', 'college', 'switching', 'online', 'classes', 'ur', 'friends', 'spend', 'rest', 'su2026']"
83,"['coompill', 'iu2019m', 'happy']"
84,"['rt', 'factsoup', 'know', 'youre', 'genuinely', 'happy', 'life', 'actually', 'want', 'best', 'people', 'worst']"
85,"['taejussmmelati', 'happy', 'birthday']"
86,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
87,"['rt', 'faze_rain', 'depressed', 'long', 'truly', 'believed', 'way', 'would', 'ever', 'happy', 'could', 'fucking', 'cry', 'hapu2026']"
88,"['rt', 'rihspectme', 'nostalgiaonfilm', 'happy', 'birthdayud83cudf88ud83cudf82']"
89,"['rt', 'faze_rain', 'depressed', 'long', 'truly', 'believed', 'way', 'would', 'ever', 'happy', 'could', 'fucking', 'cry', 'hapu2026']"
90,"['happy', 'astros', 'right', 'media', 'attention', 'literally', 'disappeared', 'thought', 'fans', 'atu202httpstcodxykied4jc']"
91,"['rt', 'parkjiminpics', 'jinmin', 'sang', 'happy', 'birthday', 'yoongi', 'ud83eudd7a', 'httpstcoqfgj010nca']"
92,"['rt', 'cultgoo', 'happy', 'think', 'koonsad', 'think', 'koonbusy', 'think', 'koonbored', 'think', 'koonyour', 'bfgf', 'broke', 'thu2026']"
93,"['rt', 'jesvs209being', 'happy', 'cool', 'fuck', 'like', 'everything', 'see', 'beautiful', 'lovely', 'shit']"
94,"['semetonalbert', 'happy', 'bu2019day', 'alberttud83eudd73']"
95,"['rt', 'ariellatg', 'happy', 'tittytuesday', 'everyone', 'ud83dudc8b', 'bbw', 'bbwlovers', 'tits', 'cumtribute', 'loosewomen', 'martesdetetasnatutales', 'httpstu2026']"
96,"['rt', 'mermaidmrym', 'itu2019s', 'okay', 'get', 'sad', 'itu2019s', 'okay', 'cry', 'canu2019t', 'happy', '24itu2019s', 'normal', 'feel', 'emotions', 'youu2019re', 'going', 'geu2026']"
97,"['happy', 'bought', 'ticket', 'critical', 'show', 'may', '2nd', 'steve', 'gunncass', 'mccombs', 'nhttpstcoti7eqytd2m']"
98,"['rt', 'finequote_s', 'hope', 'story', 'got', 'happy', 'ending', 'cuz', 'thru', 'shit', 'never', 'deserved']"
99,"['boy', 'make', 'happyud83eudd7a']"
100,"['rt', 'cciiilllllllaaa', 'happy', 'lthttpstcoq3owazzmfo']"
101,"['personally', 'handler', 'sick', 'program', 'got', 'demented', 'amp', 'power', 'happy', 'torture', 'amusement', 'im', 'taking', 'wild', 'guu202httpstcopflkjjbkpw']"
102,"['rt', 'barbaracorcoran', 'happy', 'tough', 'sentencing', 'harvey', 'weinstein', 'today', 'itu2019s', 'huge', 'step', 'forward', 'women', 'victimizedu2026']"
103,"['rt', 'danahleya', 'happy', 'international', 'womenu2019s', 'day', 'httpstcoctohqqeql7']"
104,"['hate', 'arguing', 'wit', 'someone', 'jus', 'wan', 'na', 'happy', 'ud83eudd70']"
105,"['rt', 'fresh69be', 'happy', 'ud83dude0a', 'httpstcobduwrdvt6g']"
106,"['really', 'love', 'seeing', 'people', 'happy', 'especially', 'people', 'know']"
107,"['rt', 'caaitlinn_happy', 'birthday', 'main', 'bitchud83duddabrittnaypolk_', 'httpstcodebm9bkbli']"
108,"['rt', 'barbiefobia', 'jimin', 'taehyung', 'smiley', 'happy', 'together']"
109,"['mrmoeothman', 'thatu2019s', 'explains', 'never', 'truly', 'happy', 'ud83dude02']"
110,"['seeing', 'old', 'friends', 'telling', 'u201cyou', 'look', 'happy', 'nowu201d', 'gtgtgtgtgt']"
111,"['asifan11ud83cudf38happy', 'birthdayud83cudf3httpstcootknny28sr']"
112,"['rt', 'factsoup', 'know', 'youre', 'genuinely', 'happy', 'life', 'actually', 'want', 'best', 'people', 'worst']"
113,"['rt', 'bangtansuji', 'wrote', 'wonderland', 'make', 'happy', 'httpstco7y5fahqrdq']"
114,"['plnknip', 'itu2019s', 'worth', 'iu2019m', 'happy', 'customer', 'ud83dude0dud83dude0d']"
